水庫名稱 有效容量(萬立方公尺) 統計時間 集水區降雨量(毫米) 進水量(萬立方公尺) 出水量(萬立方公尺) 與昨日水位差(公尺) 水情時間 水位(公尺) 有效蓄水量(萬立方公尺) 蓄水量百分比(%)
石門水庫 20,134.00 1.70 1,269.22 706.75 0.69 2017-06-06(23時) 243.19 18,605.68 92.41
翡翠水庫 33,550.50 9.50 424.41 678.11 -0.02 2017-06-06(23時) 165.53 29,491.83 87.9
寶山第二水庫 3,147.18 0.00 0.00 18.45 -0.16 2017-06-06(23時) 149.39 3,056.22 97.11
永和山水庫 2,998.94 0.00 0.20 15.70 -- 2017-06-06(23時) 84.04 2,832.38 94.45
明德水庫 1,276.00 0.00 56.10 8.28 -- 2017-06-06(7時) 60.47 1,196.77 93.79
鯉魚潭水庫 11,497.53 0.94 38.71 86.47 -- 2017-06-06(23時) 299.85 11,432.41 99.43
德基水庫 15,000.00 0.00 1,679.25 1,482.20 -- 2017-06-06(10時) 1,405.46 14,042.07 93.61
石岡壩 132.88 0.00 5,951.00 5,976.00 -- 2017-06-06(23時) 272.01 20.69 15.57
霧社水庫 4,505.57 0.00 1,544.91 1,144.08 -- 2017-06-06(7時) 1,002.56 3,885.77 86.24
日月潭水庫 12,928.67 0.00 0.00 192.15 -- 2017-06-06(7時) 747.58 12,197.96 94.35
集集攔河堰 514.57 1.10 9,019.81 8,626.82 -- 2017-06-06(23時) 210.18 36.00 7
湖山水庫 5,085.00 0.00 0.00 36.18 0.60 2017-06-06(7時) 179.31 623.71 12.27
仁義潭水庫 2,531.90 0.00 159.88 44.35 -- 2017-06-06(7時) 100.67 1,580.53 62.42
白河水庫 691.03 0.40 6.73 0.00 -- 2017-06-06(8時) 106.65 357.00 51.66
烏山頭水庫 7,828.00 0.00 355.00 47.00 -- 2017-06-06(7時) 52.68 3,408.00 43.54
曾文水庫 46,261.00 0.20 1,315.60 1,089.60 -- 2017-06-06(23時) 220.73 35,534.00 76.81
南化水庫 9,499.86 0.00 107.40 127.60 -- 2017-06-06(7時) 180.00 9,499.86 100
阿公店水庫 1,612.80 0.00 0.11 3.20 -- 2017-06-06(23時) 30.78 212.96 13.2
高屏溪攔河堰 -- 0.00 10,305.71 10,305.71 -- 2017-06-06(23時) 16.87 8,726.40 --
牡丹水庫 2,641.21 0.00 16.38 9.33 -- 2017-06-06(23時) 126.84 1,034.71 39.18
